id,date,fajr,sunrise,fajr_con,fajr_loc,dhuhr,dhuhr_con,dhuhr_loc,asr,asr_con,asr_loc,maghrib,maghrib_con,maghrib_loc,isha,isha_con,isha_loc,arabic_date_text
1,1/1/2024,6:28:00,8:09:00,6:45:00,NCP,12:08:00,,,14:10:00,,,16:00:00,,,17:34:00,20:00:00,NCP,18 Jumada Al-Akhirah 1445
2,1/2/2024,6:28:00,8:09:00,6:45:00,NCP,12:09:00,,,14:11:00,,,16:01:00,,,17:35:00,20:00:00,NCP,19 Jumada Al-Akhirah 1445
5,1/3/2024,6:28:00,8:09:00,6:45:00,NCP,12:09:00,,,14:13:00,,,16:03:00,,,17:36:00,20:00:00,NCP,20 Jumada Al-Akhirah 1445
4,1/4/2024,6:28:00,8:09:00,6:45:00,NCP,12:09:00,,,14:14:00,,,16:04:00,,,17:37:00,20:00:00,NCP,21 Jumada Al-Akhirah 1445
5,1/5/2024,6:27:00,8:08:00,6:45:00,NCP,12:10:00,13:05:00,HUB,14:15:00,,,16:05:00,,,17:38:00,20:00:00,NCP,22 Jumada Al-Akhirah 1445
6,1/6/2024,6:27:00,8:08:00,6:45:00,NCP,12:10:00,,,14:16:00,,,16:06:00,,,17:39:00,20:00:00,BS-H,23 Jumada Al-Akhirah 1445
7,1/7/2024,6:27:00,8:07:00,6:45:00,NCP,12:11:00,,,14:17:00,,,16:08:00,,,17:40:00,20:00:00,BS-H,24 Jumada Al-Akhirah 1445
8,1/8/2024,6:27:00,8:07:00,6:45:00,NCP,12:11:00,,,14:18:00,,,16:09:00,,,17:41:00,20:00:00,NCP,25 Jumada Al-Akhirah 1445
9,1/9/2024,6:26:00,8:07:00,6:45:00,NCP,12:12:00,,,14:20:00,,,16:10:00,,,17:42:00,20:00:00,NCP,26 Jumada Al-Akhirah 1445
10,1/10/2024,6:26:00,8:06:00,6:45:00,NCP,12:12:00,,,14:21:00,,,16:12:00,,,17:43:00,20:00:00,NCP,27 Jumada Al-Akhirah 1445
11,1/11/2024,6:25:00,8:05:00,6:45:00,NCP,12:12:00,,,14:23:00,,,16:13:00,,,17:44:00,20:00:00,NCP,28 Jumada Al-Akhirah 1445
12,1/12/2024,6:25:00,8:05:00,6:45:00,NCP,12:13:00,13:05:00,HUB,14:24:00,,,16:15:00,,,17:45:00,20:00:00,NCP,29 Jumada Al-Akhirah 1445
13,1/13/2024,6:24:00,8:04:00,6:45:00,NCP,12:13:00,,,14:25:00,,,16:16:00,,,17:47:00,20:00:00,BS-H,1 Rajab 1445
14,1/14/2024,6:23:00,8:03:00,6:45:00,NCP,12:14:00,,,14:27:00,,,16:18:00,,,17:48:00,20:00:00,BS-H,2 Rajab 1445
15,1/15/2024,6:23:00,8:02:00,6:45:00,NCP,12:14:00,,,14:28:00,,,16:19:00,,,17:49:00,20:00:00,NCP,3 Rajab 1445
16,1/16/2024,6:22:00,8:01:00,6:45:00,NCP,12:14:00,,,14:30:00,,,16:21:00,,,17:51:00,20:00:00,NCP,4 Rajab 1445
17,1/17/2024,6:21:00,8:01:00,6:45:00,NCP,12:15:00,,,14:31:00,,,16:22:00,,,17:52:00,20:00:00,NCP,5 Rajab 1445
18,1/18/2024,6:20:00,8:00:00,6:45:00,NCP,12:15:00,,,14:33:00,,,16:24:00,,,17:53:00,20:00:00,NCP,6 Rajab 1445
19,1/19/2024,6:19:00,7:59:00,6:30:00,NCP,12:15:00,13:05:00,HUB,14:35:00,,,16:26:00,,,17:55:00,20:00:00,NCP,7 Rajab 1445
20,1/20/2024,6:18:00,7:57:00,6:30:00,NCP,12:16:00,,,14:36:00,,,16:27:00,,,17:56:00,20:00:00,BS-H,8 Rajab 1445
21,1/21/2024,6:17:00,7:56:00,6:30:00,NCP,12:16:00,,,14:38:00,,,16:29:00,,,17:58:00,20:00:00,BS-H,9 Rajab 1445
22,1/22/2024,6:16:00,7:55:00,6:30:00,NCP,12:16:00,,,14:39:00,,,16:31:00,,,17:59:00,20:00:00,NCP,10 Rajab 1445
23,1/23/2024,6:15:00,7:54:00,6:30:00,NCP,12:16:00,,,14:41:00,,,16:33:00,,,18:01:00,20:00:00,NCP,11 Rajab 1445
24,1/24/2024,6:14:00,7:53:00,6:30:00,NCP,12:17:00,,,14:43:00,,,16:34:00,,,18:02:00,20:00:00,NCP,12 Rajab 1445
25,1/25/2024,6:13:00,7:51:00,6:30:00,NCP,12:17:00,,,14:44:00,,,16:36:00,,,18:04:00,20:00:00,NCP,13 Rajab 1445
